Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,2,h(categorical),14.207553321415745,S(categorical),Biggin(categorical),3/12/2016(categorical),1.252762968495368,8.028781162487148,2.0,1.0,1.0,5.313205979041787,4.844187086458591,7.58629630715272,Yarra(categorical),-37.7996,144.9984,Northern Metropolitan(categorical),4019.0
Abbotsford,2,h(categorical),13.849912950864715,S(categorical),Biggin(categorical),4/02/2016(categorical),1.252762968495368,8.028781162487148,2.0,1.0,0.0,5.056245805348308,4.382026634673881,7.550135342488429,Yarra(categorical),-37.8079,144.9934,Northern Metropolitan(categorical),4019.0
Abbotsford,3,h(categorical),14.19736648302693,SP(categorical),Biggin(categorical),4/03/2017(categorical),1.252762968495368,8.028781162487148,3.0,2.0,0.0,4.90527477843843,5.017279836814924,7.550135342488429,Yarra(categorical),-37.8093,144.9944,Northern Metropolitan(categorical),4019.0
Abbotsford,3,h(categorical),13.652992804936396,PI(categorical),Biggin(categorical),4/03/2017(categorical),1.252762968495368,8.028781162487148,3.0,2.0,1.0,4.553876891600541,4.844187086458591,7.58629630715272,Yarra(categorical),-37.7969,144.9969,Northern Metropolitan(categorical),4019.0
Abbotsford,4,h(categorical),14.285514812209815,VB(categorical),Nelson(categorical),4/06/2016(categorical),1.252762968495368,8.028781162487148,3.0,1.0,2.0,4.795790545596741,4.962844630259907,7.608374474380783,Yarra(categorical),-37.8072,144.9941,Northern Metropolitan(categorical),4019.0
Abbotsford,2,h(categorical),13.754699481266208,S(categorical),Jellis(categorical),7/05/2016(categorical),1.252762968495368,8.028781162487148,2.0,1.0,0.0,5.204006687076795,4.844187086458591,7.58629630715272,Yarra(categorical),-37.8041,144.9953,Northern Metropolitan(categorical),4019.0
Abbotsford,3,h(categorical),14.444652941597205,S(categorical),Nelson(categorical),7/05/2016(categorical),1.252762968495368,8.028781162487148,4.0,2.0,0.0,5.5053315359323625,5.351858133476067,7.555381944240273,Yarra(categorical),-37.8024,144.9993,Northern Metropolitan(categorical),4019.0
Abbotsford,2,h(categorical),14.307765407391587,S(categorical),Nelson(categorical),8/10/2016(categorical),1.252762968495368,8.028781162487148,2.0,1.0,2.0,5.54907608489522,4.68213122712422,7.544861068658458,Yarra(categorical),-37.806,144.9954,Northern Metropolitan(categorical),4019.0
Abbotsford,1,u(categorical),12.611541086966115,S(categorical),Biggin(categorical),8/10/2016(categorical),1.252762968495368,8.028781162487148,1.0,1.0,1.0,0.0,4.844187086458591,7.58629630715272,Yarra(categorical),-37.8008,144.9973,Northern Metropolitan(categorical),4019.0
Abbotsford,2,h(categorical),13.90809065083398,S(categorical),Biggin(categorical),8/10/2016(categorical),1.252762968495368,8.028781162487148,3.0,1.0,2.0,5.3981627015177525,4.330733340286331,7.550135342488429,Yarra(categorical),-37.801,144.9989,Northern Metropolitan(categorical),4019.0
Abbotsford,2,u(categorical),13.45883704259595,VB(categorical),Jellis(categorical),12/11/2016(categorical),1.252762968495368,8.028781162487148,2.0,2.0,1.0,0.0,4.844187086458591,7.58629630715272,Yarra(categorical),-37.811,145.0067,Northern Metropolitan(categorical),4019.0
